Date,BBDC4.SA
2015-01-02,7.824869632720947
2015-01-05,7.841010093688965
2015-01-06,8.098952293395996
2015-01-07,8.420808792114258
2015-01-08,8.464178085327148
2015-01-09,8.096667289733887
2015-01-12,7.952861309051514
2015-01-13,7.977973461151123
2015-01-14,8.062427520751953
2015-01-15,7.980255603790283
2015-01-16,8.057868957519531
2015-01-19,7.888942718505859
2015-01-20,7.863835334777832
2015-01-21,8.055581092834473
2015-01-22,8.14460563659668
2015-01-23,8.073847770690918
2015-01-26,8.203957557678223
2015-01-27,8.2176513671875
2015-01-28,8.046452522277832
2015-01-29,7.936885833740234
2015-01-30,7.6994853019714355
2015-02-02,7.779373645782471
2015-02-03,8.067327499389648
2015-02-04,8.270613670349121
2015-02-05,8.138137817382812
2015-02-06,8.172394752502441
2015-02-09,8.256906509399414
2015-02-10,8.084270477294922
2015-02-11,7.866334438323975
2015-02-12,8.178327560424805
2015-02-13,8.396263122558594
2015-02-18,8.48802661895752
2015-02-19,8.469675064086914
2015-02-20,8.490323066711426
2015-02-23,8.572909355163574
2015-02-24,8.666961669921875
2015-02-25,8.715136528015137
2015-02-26,8.733497619628906
2015-02-27,8.62567138671875
2015-03-02,8.508675575256348
2015-03-03,8.527199745178223
2015-03-04,8.350452423095703
2015-03-05,8.336684226989746
2015-03-06,8.235687255859375
2015-03-09,7.999271392822266
2015-03-10,7.733007907867432
2015-03-11,7.964840888977051
2015-03-12,7.822531700134277
2015-03-13,7.726123332977295
2015-03-16,7.840892791748047
2015-03-17,8.14846420288086
2015-03-18,8.46981430053711
2015-03-19,8.327505111694336
2015-03-20,8.45604419708252
2015-03-23,8.435382843017578
2015-03-24,8.355046272277832
2015-03-25,8.359639167785645
2015-03-26,8.102561950683594
2015-03-27,7.877615928649902
2015-03-30,8.042876243591309
2015-03-31,8.13928508758545
2015-04-01,8.403715133666992
2015-04-02,8.49162483215332
2015-04-06,8.574308395385742
2015-04-07,8.621161460876465
2015-04-08,8.618402481079102
2015-04-09,8.46406078338623
2015-04-10,8.497129440307617
2015-04-13,8.519183158874512
2015-04-14,8.637697219848633
2015-04-15,8.731407165527344
2015-04-16,8.734161376953125
2015-04-17,8.475083351135254
2015-04-20,8.428227424621582
2015-04-22,8.497129440307617
2015-04-23,8.71487045288086
2015-04-24,8.957406044006348
2015-04-27,8.789283752441406
2015-04-28,8.957406044006348
2015-04-29,8.69006061553955
2015-04-30,8.869211196899414
2015-05-04,8.913305282592773
2015-05-05,8.948874473571777
2015-05-06,8.728255271911621
2015-05-07,8.695165634155273
2015-05-08,8.728255271911621
2015-05-11,8.70068073272705
2015-05-12,8.612432479858398
2015-05-13,8.52694320678711
2015-05-14,8.722744941711426
2015-05-15,8.874415397644043
2015-05-18,8.648282051086426
2015-05-19,8.571062088012695
2015-05-20,8.328383445739746
2015-05-21,8.229105949401855
2015-05-22,7.99745512008667
2015-05-25,8.08018684387207
2015-05-26,7.790627956390381
2015-05-27,8.074673652648926
2015-05-28,7.980910301208496
2015-05-29,7.776837348937988
2015-06-01,7.729954719543457
2015-06-02,7.994597911834717
2015-06-03,7.77933931350708
2015-06-05,7.613767147064209
2015-06-08,7.605490207672119
2015-06-09,7.561336040496826
2015-06-10,7.837292194366455
2015-06-11,7.826261520385742
2015-06-12,7.671716690063477
2015-06-15,7.641366481781006
