Date,PETR4.SA
2015-01-02,2.785446882247925
2015-01-05,2.547374725341797
2015-01-06,2.4640493392944336
2015-01-07,2.580109119415283
2015-01-08,2.746760845184326
2015-01-09,2.830085515975952
2015-01-12,2.630699634552002
2015-01-13,2.7050974369049072
2015-01-14,2.65153169631958
2015-01-15,2.7705676555633545
2015-01-16,2.8092548847198486
2015-01-19,2.728904962539673
2015-01-20,2.7705676555633545
2015-01-21,2.9461452960968018
2015-01-22,3.044349431991577
2015-01-23,2.9699530601501465
2015-01-26,2.9253151416778564
2015-01-27,3.0175676345825195
2015-01-28,2.7110493183135986
2015-01-29,2.580109119415283
2015-01-30,2.470000743865967
2015-02-02,2.6158204078674316
2015-02-03,2.9669768810272217
2015-02-04,2.9818568229675293
2015-02-05,2.9253151416778564
2015-02-06,2.7140250205993652
2015-02-09,2.7973506450653076
2015-02-10,2.65153169631958
2015-02-11,2.7021212577819824
2015-02-12,2.812229633331299
2015-02-13,2.984832286834717
2015-02-18,2.9878082275390625
2015-02-19,2.8896031379699707
2015-02-20,2.8687727451324463
2015-02-23,2.8271100521087646
2015-02-24,2.9461452960968018
2015-02-25,2.7973506450653076
2015-02-26,2.746760845184326
2015-02-27,2.841989278793335
2015-03-02,2.803302049636841
2015-03-03,2.8479411602020264
2015-03-04,2.758664131164551
2015-03-05,2.7497363090515137
2015-03-06,2.7527120113372803
2015-03-09,2.6545073986053467
2015-03-10,2.5354714393615723
2015-03-11,2.6009409427642822
2015-03-12,2.5205917358398438
2015-03-13,2.4819047451019287
2015-03-16,2.4967844486236572
2015-03-17,2.6366515159606934
2015-03-18,2.7378323078155518
2015-03-19,2.6545073986053467
2015-03-20,2.743784189224243
2015-03-23,2.7765190601348877
2015-03-24,2.803302049636841
2015-03-25,2.916386842727661
2015-03-26,2.7765190601348877
2015-03-27,2.785446882247925
2015-03-30,2.8896031379699707
2015-03-31,2.8747246265411377
2015-04-01,3.053278923034668
2015-04-02,3.1812424659729004
2015-04-06,3.1871938705444336
2015-04-07,3.249688148498535
2015-04-08,3.145531415939331
2015-04-09,3.4460973739624023
2015-04-10,3.5145437717437744
2015-04-13,3.651435375213623
2015-04-14,3.707977771759033
2015-04-15,3.9698572158813477
2015-04-16,3.8627243041992188
2015-04-17,3.85379695892334
2015-04-20,3.8895068168640137
2015-04-22,3.86867618560791
2015-04-23,3.829990863800049
2015-04-24,3.934145927429199
2015-04-27,3.7258338928222656
2015-04-28,3.8002307415008545
2015-04-29,3.815110445022583
2015-04-30,3.8865320682525635
2015-05-04,4.103773593902588
2015-05-05,4.294230937957764
2015-05-06,4.103773593902588
2015-05-07,4.0650858879089355
2015-05-08,4.020447731018066
2015-05-11,4.097820281982422
2015-05-12,4.085916996002197
2015-05-13,4.160314559936523
2015-05-14,4.136507987976074
2015-05-15,4.178170680999756
2015-05-18,4.076990127563477
2015-05-19,3.8359415531158447
2015-05-20,3.8210620880126953
2015-05-21,4.011519432067871
2015-05-22,3.8895068168640137
2015-05-25,3.8180856704711914
2015-05-26,3.687147617340088
2015-05-27,3.7317850589752197
2015-05-28,3.764519691467285
2015-05-29,3.669290781021118
2015-06-01,3.678217887878418
2015-06-02,3.832965135574341
2015-06-03,3.8061816692352295
2015-06-05,3.740713119506836
2015-06-08,3.740713119506836
2015-06-09,3.86867618560791
2015-06-10,3.8924832344055176
2015-06-11,3.898435115814209
2015-06-12,3.8746285438537598
2015-06-15,3.871652603149414
2015-06-16,3.981762170791626
2015-06-17,3.910339117050171
2015-06-18,4.00259256362915
2015-06-19,3.9133148193359375
2015-06-22,3.919266939163208
2015-06-23,3.8597495555877686
2015-06-24,3.934145927429199
2015-06-25,3.7496395111083984
2015-06-26,3.9311716556549072
2015-06-29,3.824038028717041
2015-06-30,3.776423931121826
2015-07-01,3.6187007427215576
2015-07-02,3.6752429008483887
2015-07-03,3.499663829803467
2015-07-06,3.425266981124878
2015-07-07,3.5026392936706543
2015-07-08,3.4103870391845703
2015-07-10,3.5145437717437744
2015-07-13,3.5085911750793457
2015-07-14,3.5681097507476807
2015-07-15,3.505615234375
2015-07-16,3.5681097507476807
2015-07-17,3.3955070972442627
2015-07-20,3.211001396179199
2015-07-21,3.193145513534546
2015-07-22,3.0830366611480713
2015-07-23,3.0116159915924072
2015-07-24,2.984832286834717
2015-07-27,2.8271100521087646
2015-07-28,2.9818568229675293
2015-07-29,3.184217929840088
2015-07-30,3.1008925437927246
2015-07-31,3.1217236518859863
2015-08-03,2.984832286834717
2015-08-04,3.02351975440979
2015-08-05,2.9788808822631836
2015-08-06,3.0770862102508545
2015-08-07,2.8836522102355957
2015-08-10,2.972928524017334
2015-08-11,2.9699530601501465
2015-08-12,2.9223389625549316
2015-08-13,2.8271100521087646
2015-08-14,2.767592191696167
2015-08-17,2.7229533195495605
2015-08-18,2.6753385066986084
2015-08-19,2.6009409427642822
2015-08-20,2.5860612392425537
2015-08-21,2.470000743865967
2015-08-24,2.347989082336426
2015-08-25,2.336085319519043
2015-08-26,2.4194107055664062
2015-08-27,2.6545073986053467
2015-08-28,2.6842668056488037
2015-08-31,2.734856605529785
2015-09-01,2.556302309036255
2015-09-02,2.6247479915618896
2015-09-03,2.6068930625915527
2015-09-04,2.5324952602386475
2015-09-08,2.5711820125579834
2015-09-09,2.4967844486236572
2015-09-10,2.371795892715454
2015-09-11,2.279543161392212
2015-09-14,2.297398805618286
2015-09-15,2.276567220687866
2015-09-16,2.422386646270752
2015-09-17,2.3390614986419678
2015-09-18,2.261687755584717
2015-09-21,2.172410726547241
