Date,B3SA3.SA
2015-01-02,2.1739392280578613
2015-01-05,2.114503860473633
2015-01-06,2.135077714920044
2015-01-07,2.2196574211120605
2015-01-08,2.1899399757385254
2015-01-09,2.1327924728393555
2015-01-12,2.071070671081543
2015-01-13,2.0756423473358154
2015-01-14,2.1167895793914795
2015-01-15,2.1076467037200928
2015-01-16,2.17165207862854
2015-01-19,2.052783727645874
2015-01-20,2.0939300060272217
2015-01-21,2.1899399757385254
2015-01-22,2.283665418624878
2015-01-23,2.244802951812744
2015-01-26,2.217372179031372
2015-01-27,2.258518695831299
2015-01-28,2.208228588104248
2015-01-29,2.2516610622406006
2015-01-30,2.103073835372925
2015-02-02,2.130505323410034
2015-02-03,2.1899399757385254
2015-02-04,2.228801727294922
2015-02-05,2.212799072265625
2015-02-06,2.155651569366455
2015-02-09,2.155651569366455
2015-02-10,2.135077714920044
2015-02-11,2.050497531890869
2015-02-12,2.1190755367279053
2015-02-13,2.144221067428589
2015-02-18,2.2036564350128174
2015-02-19,2.208228588104248
2015-02-20,2.2196574211120605
2015-02-23,2.192225694656372
2015-02-24,2.274519681930542
2015-02-25,2.258518695831299
2015-02-26,2.2928078174591064
2015-02-27,2.3042380809783936
2015-03-02,2.205942153930664
2015-03-03,2.2516610622406006
2015-03-04,2.269948720932007
2015-03-05,2.2036564350128174
2015-03-06,2.2105138301849365
2015-03-09,2.196798086166382
2015-03-10,2.1739392280578613
2015-03-11,2.2265145778656006
2015-03-12,2.2013704776763916
2015-03-13,2.205942153930664
2015-03-16,2.2790920734405518
2015-03-17,2.4528253078460693
2015-03-18,2.5716936588287354
2015-03-19,2.532832622528076
2015-03-20,2.6014111042022705
2015-03-23,2.564836263656616
2015-03-24,2.505401134490967
2015-03-25,2.4779698848724365
2015-03-26,2.5214028358459473
2015-03-27,2.5442628860473633
2015-03-30,2.5945537090301514
2015-03-31,2.5419766902923584
2015-04-01,2.679133176803589
2015-04-02,2.7477121353149414
2015-04-06,2.722566604614258
2015-04-07,2.653988838195801
2015-04-08,2.7385692596435547
2015-04-09,2.7385692596435547
2015-04-10,2.763714075088501
2015-04-13,2.7774298191070557
2015-04-14,2.7591423988342285
2015-04-15,2.843722105026245
2015-04-16,2.80987548828125
2015-04-17,2.80987548828125
2015-04-20,2.770688772201538
2015-04-22,2.814486503601074
2015-04-23,2.8444511890411377
2015-04-24,2.9412639141082764
2015-04-27,2.9043827056884766
2015-04-28,2.895162343978882
2015-04-29,2.8190953731536865
2015-04-30,2.867501974105835
2015-05-04,2.932044506072998
2015-05-05,2.9458744525909424
2015-05-06,2.9458744525909424
2015-05-07,2.8536720275878906
2015-05-08,2.9066874980926514
2015-05-11,2.9020771980285645
2015-05-12,2.8283157348632812
2015-05-13,2.777604818344116
2015-05-14,2.7891294956207275
2015-05-15,2.8260111808776855
2015-05-18,2.8582818508148193
2015-05-19,2.8638954162597656
2015-05-20,2.840611219406128
2015-05-21,2.8173282146453857
2015-05-22,2.752134084701538
2015-05-25,2.726522207260132
2015-05-26,2.6939241886138916
2015-05-27,2.724193572998047
2015-05-28,2.6915955543518066
2015-05-29,2.6077747344970703
2015-06-01,2.6962521076202393
2015-06-02,2.752134084701538
2015-06-03,2.7404918670654297
2015-06-05,2.733506679534912
2015-06-08,2.686939239501953
2015-06-09,2.686939239501953
2015-06-10,2.749804973602295
2015-06-11,2.749804973602295
2015-06-12,2.726522207260132
2015-06-15,2.7311787605285645
2015-06-16,2.7102227210998535
2015-06-17,2.700909376144409
2015-06-18,2.726522207260132
2015-06-19,2.6822829246520996
2015-06-22,2.6915955543518066
2015-06-23,2.656670093536377
2015-06-24,2.6543421745300293
2015-06-25,2.6799545288085938
2015-06-26,2.719536304473877
2015-06-29,2.6752967834472656
2015-06-30,2.7172083854675293
2015-07-01,2.6985812187194824
2015-07-02,2.689267873764038
2015-07-03,2.663655996322632
2015-07-06,2.686939239501953
2015-07-07,2.733506679534912
2015-07-08,2.6939241886138916
2015-07-10,2.7451484203338623
2015-07-13,2.7544617652893066
2015-07-14,2.8033578395843506
2015-07-15,2.7591187953948975
2015-07-16,2.787059783935547
2015-07-17,2.7288498878479004
2015-07-20,2.668311834335327
2015-07-21,2.6217446327209473
2015-07-22,2.5891482830047607
2015-07-23,2.4913554191589355
2015-07-24,2.437803268432617
2015-07-27,2.4215047359466553
2015-07-28,2.398221015930176
2015-07-29,2.379594326019287
2015-07-30,2.3912360668182373
2015-07-31,2.4354748725891113
2015-08-03,2.395892858505249
2015-08-04,2.3889076709747314
2015-08-05,2.381922721862793
2015-08-06,2.370281457901001
2015-08-07,2.3446686267852783
2015-08-10,2.4098639488220215
2015-08-11,2.4680726528167725
2015-08-12,2.4424595832824707
2015-08-13,2.4913554191589355
2015-08-14,2.4634149074554443
2015-08-17,2.4331471920013428
2015-08-18,2.4983415603637695
2015-08-19,2.472729444503784
2015-08-20,2.523953437805176
2015-08-21,2.4331471920013428
2015-08-24,2.4786479473114014
2015-08-25,2.407829523086548
2015-08-26,2.5636298656463623
2015-08-27,2.632087469100952
2015-08-28,2.587236166000366
2015-08-31,2.5447449684143066
2015-09-01,2.4432380199432373
2015-09-02,2.4597620964050293
2015-09-03,2.4880902767181396
2015-09-04,2.407829523086548
2015-09-08,2.417271852493286
2015-09-09,2.50933575630188
2015-09-10,2.549466371536255
2015-09-11,2.516416549682617
2015-09-14,2.606121301651001
2015-09-15,2.691103219985962
2015-09-16,2.804412364959717
2015-09-17,2.684021472930908
2015-09-18,2.6344478130340576
2015-09-21,2.587236166000366
