Date,USIM5.SA
2015-01-02,3.7322916984558105
2015-01-05,3.5063278675079346
2015-01-06,3.677747964859009
2015-01-07,3.8959193229675293
2015-01-08,3.7011237144470215
2015-01-09,3.5530784130096436
2015-01-12,3.4128258228302
2015-01-13,3.288156032562256
2015-01-14,3.1868622303009033
2015-01-15,3.1868622303009033
2015-01-16,3.303739547729492
2015-01-19,3.1946539878845215
2015-01-20,3.1167354583740234
2015-01-21,3.179070234298706
2015-01-22,3.171278715133667
2015-01-23,3.1089437007904053
2015-01-26,3.101151943206787
2015-01-27,3.0310254096984863
2015-01-28,2.9219398498535156
2015-01-29,2.7661030292510986
2015-01-30,2.6102662086486816
2015-02-02,2.711559772491455
2015-02-03,2.7661030292510986
2015-02-04,2.727144241333008
2015-02-05,2.742727518081665
2015-02-06,2.7583107948303223
2015-02-09,2.9998583793640137
2015-02-10,3.023233652114868
2015-02-11,3.08556866645813
2015-02-12,2.851813316345215
2015-02-13,2.8050622940063477
2015-02-18,2.9219398498535156
2015-02-19,2.937523126602173
2015-02-20,3.171278715133667
2015-02-23,3.023233652114868
2015-02-24,3.0388171672821045
2015-02-25,3.163487195968628
2015-02-26,3.1401114463806152
2015-02-27,3.218029737472534
2015-03-02,3.2336134910583496
2015-03-03,3.3426992893218994
2015-03-04,3.4595768451690674
2015-03-05,3.4673681259155273
2015-03-06,3.443992853164673
2015-03-09,3.5374958515167236
2015-03-10,3.5374958515167236
2015-03-11,3.607621431350708
2015-03-12,3.6232054233551025
2015-03-13,3.7868340015411377
2015-03-16,3.8102095127105713
2015-03-17,3.9738378524780273
2015-03-18,3.950462818145752
2015-03-19,4.005005836486816
2015-03-20,3.958253860473633
2015-03-23,3.8959193229675293
2015-03-24,3.7790422439575195
2015-03-25,4.02838134765625
2015-03-26,4.043964385986328
2015-03-27,4.005005836486816
2015-03-30,3.989422082901001
2015-03-31,3.8725433349609375
2015-04-01,3.825793504714966
2015-04-02,3.8959193229675293
2015-04-06,3.9348795413970947
2015-04-07,3.7400834560394287
2015-04-08,3.5842461585998535
2015-04-09,3.607621431350708
2015-04-10,3.7790422439575195
2015-04-13,3.763458490371704
2015-04-14,3.825793504714966
2015-04-15,4.10629940032959
2015-04-16,4.269927978515625
2015-04-17,4.0907158851623535
2015-04-20,4.2153849601745605
2015-04-22,4.379014015197754
2015-04-23,4.675102710723877
2015-04-24,4.659520149230957
2015-04-27,4.862107276916504
2015-04-28,4.620560169219971
2015-04-29,4.661825656890869
2015-04-30,4.677495956420898
2015-05-04,5.014401435852051
2015-05-05,5.210277080535889
2015-05-06,5.460996627807617
2015-05-07,4.912546634674072
2015-05-08,4.65399169921875
2015-05-11,4.755845546722412
2015-05-12,4.622650623321533
2015-05-13,4.3954362869262695
2015-05-14,4.301416397094727
2015-05-15,4.27007532119751
2015-05-18,4.27007532119751
2015-05-19,4.113376617431641
2015-05-20,4.19956111907959
2015-05-21,4.23090124130249
2015-05-22,4.152551651000977
2015-05-25,4.152551651000977
2015-05-26,4.2779107093811035
2015-05-27,4.238736152648926
2015-05-28,4.027190685272217
2015-05-29,3.9958503246307373
2015-06-01,3.956676959991455
2015-06-02,4.0428619384765625
2015-06-03,3.948841094970703
2015-06-05,3.8469865322113037
2015-06-08,3.7372963428497314
2015-06-09,3.7686362266540527
2015-06-10,3.745131492614746
2015-06-11,3.7764713764190674
2015-06-12,3.682450532913208
2015-06-15,3.6589462757110596
2015-06-16,3.6041007041931152
2015-06-17,3.4865758419036865
2015-06-18,3.6432762145996094
2015-06-19,3.6432762145996094
2015-06-22,3.588430881500244
2015-06-23,3.549255847930908
2015-06-24,3.4474008083343506
2015-06-25,3.3220407962799072
2015-06-26,3.4082255363464355
2015-06-29,3.384720802307129
2015-06-30,3.2280211448669434
2015-07-01,3.2045154571533203
2015-07-02,3.2201857566833496
2015-07-03,3.157505989074707
2015-07-06,3.2750308513641357
2015-07-07,3.2671961784362793
2015-07-08,3.157505989074707
2015-07-10,3.212350606918335
2015-07-13,3.3925561904907227
2015-07-14,3.345546007156372
2015-07-15,3.369051218032837
2015-07-16,3.251526117324829
2015-07-17,3.134000301361084
2015-07-20,3.0948259830474854
2015-07-21,3.008641004562378
2015-07-22,2.930290460586548
2015-07-23,3.0321457386016846
2015-07-24,3.008641004562378
2015-07-27,2.930290460586548
2015-07-28,3.1731760501861572
2015-07-29,3.079155683517456
2015-07-30,3.0164759159088135
2015-07-31,3.079155683517456
2015-08-03,3.1261661052703857
2015-08-04,3.2671961784362793
2015-08-05,3.2671961784362793
2015-08-06,3.1888461112976074
2015-08-07,3.0948259830474854
2015-08-10,3.0713207721710205
2015-08-11,2.969465732574463
2015-08-12,2.8676106929779053
2015-08-13,2.7892608642578125
2015-08-14,2.7187459468841553
2015-08-17,2.742250919342041
2015-08-18,2.6325607299804688
2015-08-19,2.530705451965332
2015-08-20,2.4680259227752686
2015-08-21,2.4053456783294678
2015-08-24,2.154625177383423
2015-08-25,2.099780559539795
2015-08-26,2.264315605163574
2015-08-27,2.397510290145874
2015-08-28,2.326995849609375
2015-08-31,2.3348305225372314
2015-09-01,2.4288504123687744
2015-09-02,2.5463757514953613
2015-09-03,2.5072007179260254
2015-09-04,2.7109107971191406
2015-09-08,2.9224555492401123
2015-09-09,2.945960760116577
2015-09-10,3.3220407962799072
2015-09-11,3.6432762145996094
2015-09-14,3.3533811569213867
2015-09-15,3.329876184463501
2015-09-16,3.4709060192108154
2015-09-17,3.4160609245300293
2015-09-18,3.439565896987915
2015-09-21,3.3377110958099365
