Date,VALE3.SA
2015-01-02,11.099471092224121
2015-01-05,10.932561874389648
2015-01-06,11.370697975158691
2015-01-07,11.787971496582031
2015-01-08,11.913152694702148
2015-01-09,11.657575607299805
2015-01-12,11.808832168579102
2015-01-13,11.741025924682617
2015-01-14,10.79694938659668
2015-01-15,10.922130584716797
2015-01-16,11.412423133850098
2015-01-19,11.292461395263672
2015-01-20,11.339401245117188
2015-01-21,11.516743659973145
2015-01-22,11.428071975708008
2015-01-23,10.703062057495117
2015-01-26,10.212764739990234
2015-01-27,9.910242080688477
2015-01-28,9.852866172790527
2015-01-29,9.414730072021484
2015-01-30,9.706820487976074
2015-02-02,10.296218872070312
2015-02-03,10.8856201171875
2015-02-04,10.718710899353027
2015-02-05,10.666549682617188
2015-02-06,10.65090274810791
2015-02-09,11.261165618896484
2015-02-10,10.640467643737793
2015-02-11,11.005582809448242
2015-02-12,11.255948066711426
2015-02-13,11.725381851196289
2015-02-18,11.845342636108398
2015-02-19,11.527177810668945
2015-02-20,11.798408508300781
2015-02-23,11.276812553405762
2015-02-24,11.495881080627441
2015-02-25,11.548035621643066
2015-02-26,11.083822250366211
2015-02-27,11.083822250366211
2015-03-02,10.72392463684082
2015-03-03,10.843890190124512
2015-03-04,10.63525390625
2015-03-05,10.171036720275879
2015-03-06,10.217982292175293
2015-03-09,10.191900253295898
2015-03-10,9.96240234375
2015-03-11,9.837220191955566
2015-03-12,9.837220191955566
2015-03-13,9.847648620605469
2015-03-16,9.858083724975586
2015-03-17,10.369241714477539
2015-03-18,10.217982292175293
2015-03-19,9.988479614257812
2015-03-20,10.562230110168457
2015-03-23,10.630037307739258
2015-03-24,10.212764739990234
2015-03-25,10.306652069091797
2015-03-26,9.868513107299805
2015-03-27,9.571208000183105
2015-03-30,9.712037086486816
2015-03-31,9.357355117797852
2015-04-01,9.14871883392334
2015-04-02,9.388648986816406
2015-04-06,9.45645523071289
2015-04-07,9.910242080688477
2015-04-08,9.77984619140625
2015-04-09,9.80592155456543
2015-04-10,9.607721328735352
2015-04-13,9.51383113861084
2015-04-14,9.77984619140625
2015-04-15,10.02329158782959
2015-04-16,9.732294082641602
2015-04-17,9.592183113098145
2015-04-20,9.554458618164062
2015-04-22,10.481344223022461
2015-04-23,11.365119934082031
2015-04-24,12.502168655395508
2015-04-27,12.642278671264648
2015-04-28,12.151893615722656
2015-04-29,11.375893592834473
2015-04-30,12.205781936645508
2015-05-04,13.353609085083008
2015-05-05,14.582270622253418
2015-05-06,13.43444538116455
2015-05-07,12.868612289428711
2015-05-08,12.259672164916992
2015-05-11,12.545280456542969
2015-05-12,12.033337593078613
2015-05-13,11.6399507522583
2015-05-14,11.494452476501465
2015-05-15,11.467508316040039
2015-05-18,10.90706729888916
2015-05-19,10.842399597167969
2015-05-20,10.6968994140625
2015-05-21,10.912453651428223
2015-05-22,10.917842864990234
2015-05-25,11.0848970413208
2015-05-26,11.203453063964844
2015-05-27,11.289677619934082
2015-05-28,11.068731307983398
2015-05-29,10.804677963256836
2015-06-01,10.799290657043457
2015-06-02,11.505229949951172
2015-06-03,11.257342338562012
2015-06-05,11.101064682006836
2015-06-08,10.831624031066895
2015-06-09,10.76695728302002
2015-06-10,11.42978572845459
2015-06-11,11.494452476501465
2015-06-12,11.402840614318848
2015-06-15,10.960953712463379
2015-06-16,10.643011093139648
2015-06-17,10.49212646484375
2015-06-18,10.9932861328125
2015-06-19,10.950177192687988
2015-06-22,10.610677719116211
2015-06-23,10.675342559814453
2015-06-24,10.669954299926758
2015-06-25,10.411288261413574
2015-06-26,10.572955131530762
2015-06-29,10.346622467041016
2015-06-30,9.856237411499023
2015-07-01,9.759237289428711
2015-07-02,9.73768138885498
2015-07-03,9.52751636505127
2015-07-06,9.511351585388184
2015-07-07,9.662238121032715
2015-07-08,9.247293472290039
2015-07-10,9.220351219177246
2015-07-13,9.969403266906738
2015-07-14,9.602960586547852
2015-07-15,9.220351219177246
2015-07-16,9.505959510803223
2015-07-17,9.403573989868164
2015-07-20,9.328128814697266
2015-07-21,9.457460403442383
2015-07-22,9.317352294921875
2015-07-23,9.333515167236328
2015-07-24,9.047906875610352
2015-07-27,9.03174114227295
2015-07-28,9.748459815979004
2015-07-29,9.888569831848145
2015-07-30,9.403573989868164
2015-07-31,9.62990665435791
2015-08-03,9.479016304016113
2015-08-04,9.7538480758667
2015-08-05,10.244234085083008
2015-08-06,10.551401138305664
2015-08-07,9.926294326782227
2015-08-10,10.427456855773926
2015-08-11,10.02329158782959
2015-08-12,10.195734977722168
2015-08-13,9.958623886108398
2015-08-14,9.807737350463867
2015-08-17,9.705348014831543
2015-08-18,9.387405395507812
2015-08-19,9.074851989746094
2015-08-20,9.252684593200684
2015-08-21,8.999407768249512
2015-08-24,8.29885196685791
2015-08-25,8.271909713745117
2015-08-26,8.568296432495117
2015-08-27,9.532905578613281
2015-08-28,9.328128814697266
2015-08-31,9.656848907470703
2015-09-01,9.214961051940918
2015-09-02,9.759237289428711
2015-09-03,10.093347549438477
2015-09-04,9.829293251037598
2015-09-08,10.20112419128418
2015-09-09,10.271180152893066
2015-09-10,10.745400428771973
2015-09-11,10.481344223022461
2015-09-14,10.31967830657959
2015-09-15,10.02329158782959
2015-09-16,10.26040267944336
2015-09-17,10.502899169921875
2015-09-18,10.729231834411621
2015-09-21,10.740013122558594
2015-09-22,10.486733436584473
2015-09-23,10.184958457946777
2015-09-24,9.942460060119629
2015-09-25,9.662238121032715
2015-09-28,8.940130233764648
2015-09-29,8.880850791931152
2015-09-30,8.934741020202637
