Date,MGLU3.SA
2015-01-02,2.0580735206604004
2015-01-05,2.096750020980835
2015-01-06,2.069124460220337
2015-01-07,2.1381871700286865
2015-01-08,2.121612787246704
2015-01-09,2.04978609085083
2015-01-12,2.0718870162963867
2015-01-13,2.04978609085083
2015-01-14,2.016636371612549
2015-01-15,2.032879590988159
2015-01-16,2.0496339797973633
2015-01-19,2.0384647846221924
2015-01-20,1.9546918869018555
2015-01-21,1.9686545133590698
2015-01-22,1.9602768421173096
2015-01-23,1.9686545133590698
2015-01-26,1.9546918869018555
2015-01-27,1.8988441228866577
2015-01-28,1.8457880020141602
2015-01-29,1.9128056764602661
2015-01-30,1.8988441228866577
2015-02-02,1.910013198852539
2015-02-03,1.8318252563476562
2015-02-04,1.8122785091400146
2015-02-05,1.787146806716919
2015-02-06,1.7005822658538818
2015-02-09,1.68382728099823
2015-02-10,1.7145438194274902
2015-02-11,1.619601845741272
2015-02-12,1.6475261449813843
2015-02-13,1.7005822658538818
2015-02-18,1.7089591026306152
2015-02-19,1.775977611541748
2015-02-20,1.7731852531433105
2015-02-23,1.7927318811416626
2015-02-24,1.8429956436157227
2015-02-25,1.7983171939849854
2015-02-26,1.8374102115631104
2015-02-27,1.689412236213684
2015-03-02,1.6977899074554443
2015-03-03,1.641940951347351
2015-03-04,1.5497914552688599
2015-03-05,1.5330374240875244
2015-03-06,1.4883577823638916
2015-03-09,1.415755033493042
2015-03-10,1.4771888256072998
2015-03-11,1.466018557548523
2015-03-12,1.5358290672302246
2015-03-13,1.4688109159469604
2015-03-16,1.4241325855255127
2015-03-17,1.4073783159255981
2015-03-18,1.3934158086776733
2015-03-19,1.4213398694992065
2015-03-20,1.4269253015518188
2015-03-23,1.4269253015518188
2015-03-24,1.415755033493042
2015-03-25,1.3962082862854004
2015-03-26,1.3906232118606567
2015-03-27,1.3822466135025024
2015-03-30,1.4073783159255981
2015-03-31,1.4213398694992065
2015-04-01,1.463226079940796
2015-04-02,1.5358290672302246
2015-04-06,1.5330374240875244
2015-04-07,1.5162822008132935
2015-04-08,1.4129633903503418
2015-04-09,1.3990007638931274
2015-04-10,1.415755033493042
2015-04-13,1.4073783159255981
2015-04-14,1.404585838317871
2015-04-15,1.415755033493042
2015-04-16,1.4520570039749146
2015-04-17,1.4325100183486938
2015-04-20,1.415755033493042
2015-04-22,1.4241325855255127
2015-04-23,1.4213398694992065
2015-04-24,1.4408868551254272
2015-04-27,1.463226079940796
2015-04-28,1.4429398775100708
2015-04-29,1.4144231081008911
2015-04-30,1.4343844652175903
2015-05-04,1.4999719858169556
2015-05-05,1.5541541576385498
2015-05-06,1.5826706886291504
2015-05-07,1.5655609369277954
2015-05-08,1.4315329790115356
2015-05-11,1.4229775667190552
2015-05-12,1.4201256036758423
2015-05-13,1.4144231081008911
2015-05-14,1.3630928993225098
2015-05-15,1.385906457901001
2015-05-18,1.3744993209838867
2015-05-19,1.3488342761993408
2015-05-20,1.3174664974212646
2015-05-21,1.323169231414795
2015-05-22,1.3032077550888062
2015-05-25,1.2918016910552979
2015-05-26,1.2490261793136597
2015-05-27,1.2547297477722168
2015-05-28,1.2518779039382935
2015-05-29,1.22050940990448
2015-06-01,1.2319165468215942
2015-06-02,1.211954951286316
2015-06-03,1.1720311641693115
2015-06-05,1.1663285493850708
2015-06-08,1.1577732563018799
2015-06-09,1.163476824760437
2015-06-10,1.1435153484344482
2015-06-11,1.1349602937698364
2015-06-12,1.1149988174438477
2015-06-15,1.1064435243606567
2015-06-16,1.1007397174835205
2015-06-17,1.1149988174438477
2015-06-18,1.0950372219085693
2015-06-19,1.1121470928192139
2015-06-22,1.1264047622680664
2015-06-23,1.0893337726593018
2015-06-24,1.0579653978347778
2015-06-25,1.0208930969238281
2015-06-26,1.0208930969238281
2015-06-29,1.0037833452224731
2015-06-30,1.0066354274749756
2015-07-01,0.9838220477104187
2015-07-02,0.95245361328125
2015-07-03,0.9267885684967041
2015-07-06,0.9096789360046387
2015-07-07,0.8868658542633057
2015-07-08,0.8497937321662903
2015-07-10,0.8640525937080383
2015-07-13,0.8412393927574158
2015-07-14,0.8326842188835144
2015-07-15,0.7899094223976135
2015-07-16,0.7528374195098877
2015-07-17,0.7271724343299866
2015-07-20,0.6958048939704895
2015-07-21,0.798463761806488
2015-07-22,0.869756281375885
2015-07-23,1.0208930969238281
2015-07-24,0.8669043779373169
2015-07-27,0.7956131100654602
2015-07-28,0.8155744075775146
2015-07-29,0.784205973148346
2015-07-30,0.7813541293144226
2015-07-31,1.0237449407577515
2015-08-03,0.95245361328125
2015-08-04,0.9809703826904297
2015-08-05,0.932492196559906
2015-08-06,0.8925694823265076
2015-08-07,0.8640525937080383
2015-08-10,0.8669043779373169
2015-08-11,0.8925694823265076
2015-08-12,0.8497937321662903
2015-08-13,0.821277916431427
2015-08-14,0.8127226829528809
2015-08-17,0.8412393927574158
2015-08-18,0.9011237025260925
2015-08-19,0.8497937321662903
2015-08-20,0.855497419834137
2015-08-21,0.8127226829528809
2015-08-24,0.778502345085144
2015-08-25,0.7585409879684448
2015-08-26,0.7642444968223572
2015-08-27,0.7699481248855591
2015-08-28,0.7556891441345215
2015-08-31,0.7271724343299866
2015-09-01,0.7072110176086426
2015-09-02,0.7043591737747192
2015-09-03,0.7328760027885437
2015-09-04,0.7015074491500854
2015-09-08,0.6786942481994629
2015-09-09,0.6929532289505005
2015-09-10,0.6843977570533752
2015-09-11,0.650177538394928
2015-09-14,0.6216616630554199
2015-09-15,0.5988475680351257
2015-09-16,0.6330679655075073
