Date,WEGE3.SA
2015-01-02,4.957522869110107
2015-01-05,4.991322994232178
2015-01-06,4.9172821044921875
2015-01-07,4.86094856262207
2015-01-08,4.943035125732422
2015-01-09,4.920501232147217
2015-01-12,4.893138885498047
2015-01-13,4.910843849182129
2015-01-14,4.989711761474609
2015-01-15,4.989711761474609
2015-01-16,4.989711761474609
2015-01-19,5.015467166900635
2015-01-20,5.078241348266602
2015-01-21,5.023515224456787
2015-01-22,5.065365314483643
2015-01-23,5.124917507171631
2015-01-26,5.063755035400391
2015-01-27,5.149062633514404
2015-01-28,5.198959827423096
2015-01-29,5.316460132598877
2015-01-30,5.163549423217773
2015-02-02,5.301973819732666
2015-02-03,5.260122299194336
2015-02-04,5.285877227783203
2015-02-05,5.27139139175415
2015-02-06,5.260122299194336
2015-02-09,5.268171787261963
2015-02-10,5.40659761428833
2015-02-11,5.367964744567871
2015-02-12,5.3068037033081055
2015-02-13,5.221495151519775
2015-02-18,5.215056419372559
2015-02-19,5.311631679534912
2015-02-20,5.231152534484863
2015-02-23,5.20700740814209
2015-02-24,5.231152534484863
2015-02-25,5.135193347930908
2015-02-26,5.114133834838867
2015-02-27,4.953760147094727
2015-03-02,5.034758567810059
2015-03-03,5.135193347930908
2015-03-04,5.127094745635986
2015-03-05,5.07039737701416
2015-03-06,5.096316814422607
2015-03-09,5.031518459320068
2015-03-10,4.973200798034668
2015-03-11,5.042856693267822
2015-03-12,5.127094745635986
2015-03-13,5.102797031402588
2015-03-16,4.973200798034668
2015-03-17,4.9877777099609375
2015-03-18,5.060678005218506
2015-03-19,5.036378860473633
2015-03-20,5.0849761962890625
2015-03-23,4.997500419616699
2015-03-24,4.9813008308410645
2015-03-25,5.030604362487793
2015-03-26,4.939640998840332
2015-03-27,5.033851623535156
2015-03-30,5.171921730041504
2015-03-31,5.165424346923828
2015-04-01,5.253139019012451
2015-04-02,5.2498908042907715
2015-04-06,5.262886047363281
2015-04-07,5.2856268882751465
2015-04-08,5.27913236618042
2015-04-09,5.210906028747559
2015-04-10,5.2368974685668945
2015-04-13,5.227149963378906
2015-04-14,5.27913236618042
2015-04-15,5.272631645202637
2015-04-16,5.1784210205078125
2015-04-17,5.168673515319824
2015-04-20,5.110199451446533
2015-04-22,5.0842061042785645
2015-04-23,5.113444805145264
2015-04-24,5.171921730041504
2015-04-27,5.149179458618164
2015-04-28,5.1004509925842285
2015-04-29,5.149179458618164
2015-04-30,5.210906028747559
2015-05-04,5.392834663391113
2015-05-05,5.461056709289551
2015-05-06,5.4025797843933105
2015-05-07,5.412325382232666
2015-05-08,5.490294933319092
2015-05-11,5.5292792320251465
2015-05-12,5.571511745452881
2015-05-13,5.5097880363464355
2015-05-14,5.655979156494141
2015-05-15,5.626739501953125
2015-05-18,5.603997707366943
2015-05-19,5.522781848907471
2015-05-20,5.561765193939209
2015-05-21,5.587756156921387
2015-05-22,5.620242595672607
2015-05-25,5.763183116912842
2015-05-26,5.561765193939209
2015-05-27,5.649479389190674
2015-05-28,5.587756156921387
2015-05-29,5.555266857147217
2015-06-01,5.594254016876221
2015-06-02,5.733946323394775
2015-06-03,5.733946323394775
2015-06-05,5.805418014526367
2015-06-08,5.792423725128174
2015-06-09,5.860644817352295
2015-06-10,5.896381378173828
2015-06-11,5.961355209350586
2015-06-12,5.889883518218994
2015-06-15,5.847650527954102
2015-06-16,5.9451117515563965
2015-06-17,5.990593910217285
2015-06-18,6.013333797454834
2015-06-19,6.088054180145264
2015-06-22,6.169270992279053
2015-06-23,6.117291450500488
2015-06-24,6.123423099517822
2015-06-25,6.217878818511963
2015-06-26,6.256965160369873
2015-06-29,6.175538063049316
2015-06-30,6.191824436187744
2015-07-01,6.344910144805908
2015-07-02,6.374222755432129
2015-07-03,6.458908557891846
2015-07-06,6.452394008636475
2015-07-07,6.514279842376709
2015-07-08,6.439366817474365
2015-07-10,6.3807373046875
2015-07-13,6.403536796569824
2015-07-14,6.432850360870361
2015-07-15,6.429594039916992
2015-07-16,6.4458794593811035
2015-07-17,6.393766403198242
2015-07-20,6.383992671966553
2015-07-21,6.4458794593811035
2015-07-22,6.481709957122803
2015-07-23,6.442621231079102
2015-07-24,6.4947357177734375
2015-07-27,6.400280952453613
2015-07-28,6.188567161560059
2015-07-29,5.983447074890137
2015-07-30,5.976904392242432
2015-07-31,6.120846748352051
2015-08-03,6.140474796295166
2015-08-04,6.235350131988525
2015-08-05,6.107761859893799
2015-08-06,6.042333126068115
2015-08-07,5.95400333404541
2015-08-10,6.052145957946777
2015-08-11,6.055419445037842
2015-08-12,5.859131336212158
2015-08-13,5.839503288269043
2015-08-14,5.695560932159424
2015-08-17,5.6006903648376465
2015-08-18,5.725006580352783
2015-08-19,5.7184624671936035
2015-08-20,5.440388202667236
2015-08-21,5.5156331062316895
2015-08-24,5.404404163360596
2015-08-25,5.283360004425049
2015-08-26,5.293176651000977
2015-08-27,5.446933269500732
2015-08-28,5.476375102996826
2015-08-31,5.479645729064941
2015-09-01,5.32261848449707
2015-09-02,5.5189056396484375
2015-09-03,5.5189056396484375
2015-09-04,5.397861480712891
2015-09-08,5.342245578765869
2015-09-09,5.260462284088135
2015-09-10,5.234288692474365
2015-09-11,5.24737548828125
2015-09-14,5.374960422515869
2015-09-15,5.397861480712891
2015-09-16,5.440388202667236
2015-09-17,5.479645729064941
2015-09-18,5.378232002258301
2015-09-21,5.316076278686523
2015-09-22,5.401133060455322
2015-09-23,5.3434062004089355
2015-09-24,5.333558082580566
2015-09-25,5.179295063018799
2015-09-28,5.133345603942871
