Date,ITUB4.SA
2015-01-02,12.177519798278809
2015-01-05,12.23871898651123
2015-01-06,12.436691284179688
2015-01-07,12.886643409729004
2015-01-08,13.088227272033691
2015-01-09,12.515888214111328
2015-01-12,12.213518142700195
2015-01-13,12.199116706848145
2015-01-14,12.281905174255371
2015-01-15,12.173919677734375
2015-01-16,12.361100196838379
2015-01-19,11.914745330810547
2015-01-20,11.954344749450684
2015-01-21,12.307112693786621
2015-01-22,12.368303298950195
2015-01-23,12.249510765075684
2015-01-26,12.393494606018066
2015-01-27,12.34670639038086
2015-01-28,12.09472370147705
2015-01-29,12.011938095092773
2015-01-30,11.842752456665039
2015-02-02,11.999414443969727
2015-02-03,12.334325790405273
2015-02-04,12.788081169128418
2015-02-05,12.68005084991455
2015-02-06,12.65124225616455
2015-02-09,12.73047161102295
2015-02-10,12.56840705871582
2015-02-11,12.355940818786621
2015-02-12,12.680716514587402
2015-02-13,13.10144329071045
2015-02-18,13.178934097290039
2015-02-19,13.175247192382812
2015-02-20,13.245365142822266
2015-02-23,13.374532699584961
2015-02-24,13.514774322509766
2015-02-25,13.547992706298828
2015-02-26,13.614422798156738
2015-02-27,13.470488548278809
2015-03-02,13.409567832946777
2015-03-03,13.512947082519531
2015-03-04,13.394795417785645
2015-03-05,13.27665901184082
2015-03-06,12.922220230102539
2015-03-09,12.586243629455566
2015-03-10,12.091503143310547
2015-03-11,12.501325607299805
2015-03-12,12.553013801574707
2015-03-13,12.49024486541748
2015-03-16,12.49024486541748
2015-03-17,12.84837818145752
2015-03-18,13.23604679107666
2015-03-19,13.154818534851074
2015-03-20,13.26559066772461
2015-03-23,13.180659294128418
2015-03-24,13.099434852600098
2015-03-25,13.088360786437988
2015-03-26,12.71915054321289
2015-03-27,12.497629165649414
2015-03-30,12.918526649475098
2015-03-31,13.036669731140137
2015-04-01,13.481752395629883
2015-04-02,13.611030578613281
2015-04-06,13.77724838256836
2015-04-07,13.784634590148926
2015-04-08,13.851119995117188
2015-04-09,13.574102401733398
2015-04-10,13.673819541931152
2015-04-13,13.566701889038086
2015-04-14,13.566701889038086
2015-04-15,13.762467384338379
2015-04-16,13.659043312072754
2015-04-17,13.48544692993164
2015-04-20,13.260129928588867
2015-04-22,13.62950325012207
2015-04-23,13.998861312866211
2015-04-24,14.453176498413086
2015-04-27,14.183541297912598
2015-04-28,14.327592849731445
2015-04-29,14.131844520568848
2015-04-30,14.231560707092285
2015-05-04,14.392297744750977
2015-05-05,14.251875877380371
2015-05-06,13.893465995788574
2015-05-07,13.948885917663574
2015-05-08,14.133633613586426
2015-05-11,14.067133903503418
2015-05-12,14.004317283630371
2015-05-13,13.908245086669922
2015-05-14,14.044957160949707
2015-05-15,14.307303428649902
2015-05-18,13.92672061920166
2015-05-19,13.730877876281738
2015-05-20,13.487003326416016
2015-05-21,13.324432373046875
2015-05-22,13.043593406677246
2015-05-25,13.091628074645996
2015-05-26,12.899491310119629
2015-05-27,13.161837577819824
2015-05-28,13.00664234161377
2015-05-29,12.685173988342285
2015-06-01,12.59830093383789
2015-06-02,12.879251480102539
2015-06-03,12.553942680358887
2015-06-05,12.254508972167969
2015-06-08,12.2027587890625
2015-06-09,12.125123023986816
2015-06-10,12.480010986328125
2015-06-11,12.402374267578125
2015-06-12,12.272993087768555
2015-06-15,12.335837364196777
2015-06-16,12.77204418182373
2015-06-17,12.546544075012207
2015-06-18,12.857073783874512
2015-06-19,12.712896347045898
2015-06-22,12.749862670898438
2015-06-23,12.875553131103516
2015-06-24,12.919917106628418
2015-06-25,12.698115348815918
2015-06-26,12.809009552001953
2015-06-29,12.646361351013184
2015-06-30,12.650064468383789
2015-07-01,12.722177505493164
2015-07-02,12.89229679107666
2015-07-03,12.762857437133789
2015-07-06,12.54465103149414
2015-07-07,12.592733383178711
2015-07-08,12.44849967956543
2015-07-10,12.825718879699707
2015-07-13,12.944076538085938
2015-07-14,12.952951431274414
2015-07-15,12.729202270507812
2015-07-16,12.765815734863281
2015-07-17,12.688521385192871
2015-07-20,12.611223220825195
2015-07-21,12.505454063415527
2015-07-22,12.31018352508545
2015-07-23,11.797595977783203
2015-07-24,11.74471664428711
2015-07-27,11.720301628112793
2015-07-28,11.935911178588867
2015-07-29,12.05388355255127
2015-07-30,11.903367042541504
2015-07-31,12.236948013305664
2015-08-03,12.177940368652344
2015-08-04,11.884888648986816
2015-08-05,11.864534378051758
2015-08-06,11.819765090942383
2015-08-07,11.473797798156738
2015-08-10,11.62439250946045
2015-08-11,11.599977493286133
2015-08-12,11.266217231750488
2015-08-13,11.004904747009277
2015-08-14,10.992538452148438
2015-08-17,10.877131462097168
2015-08-18,11.058487892150879
2015-08-19,10.831792831420898
2015-08-20,10.856527328491211
2015-08-21,10.881255149841309
2015-08-24,10.65868091583252
2015-08-25,10.63807487487793
2015-08-26,11.281059265136719
2015-08-27,11.680864334106445
2015-08-28,11.347010612487793
2015-08-31,10.943078994750977
2015-09-01,10.689451217651367
2015-09-02,10.941018104553223
2015-09-03,11.357542991638184
2015-09-04,10.895655632019043
2015-09-08,11.015249252319336
2015-09-09,11.138972282409668
2015-09-10,10.916276931762695
2015-09-11,10.936895370483398
2015-09-14,11.378166198730469
2015-09-15,11.658600807189941
2015-09-16,11.852423667907715
2015-09-17,11.955527305603027
2015-09-18,11.485383033752441
2015-09-21,11.229703903198242
2015-09-22,11.336923599243164
2015-09-23,10.887401580810547
2015-09-24,11.011127471923828
2015-09-25,10.743064880371094
2015-09-28,10.734816551208496
2015-09-29,10.689451217651367
