Date,TAEE11.SA
2015-01-02,6.938105583190918
2015-01-05,6.912342071533203
2015-01-06,6.923384666442871
2015-01-07,6.934424877166748
2015-01-08,7.000679016113281
2015-01-09,6.952828884124756
2015-01-12,6.8755340576171875
2015-01-13,6.993317604064941
2015-01-14,7.092695713043213
2015-01-15,7.203117847442627
2015-01-16,7.306177139282227
2015-01-19,7.214156627655029
2015-01-20,7.273050308227539
2015-01-21,7.250965118408203
2015-01-22,7.239922046661377
2015-01-23,7.195752143859863
2015-01-26,7.103736877441406
2015-01-27,7.1405439376831055
2015-01-28,7.103736877441406
2015-01-29,7.177351474761963
2015-01-30,7.158949375152588
2015-02-02,7.287771224975586
2015-02-03,7.331939220428467
2015-02-04,7.342982769012451
2015-02-05,7.262007236480713
2015-02-06,7.199435234069824
2015-02-09,7.177351474761963
2015-02-10,7.320898532867432
2015-02-11,7.269366264343262
2015-02-12,7.4239583015441895
2015-02-13,7.365066051483154
2015-02-18,7.457085609436035
2015-02-19,7.619034767150879
2015-02-20,7.604312419891357
2015-02-23,7.563821792602539
2015-02-24,7.655838966369629
2015-02-25,7.803068161010742
2015-02-26,7.865640163421631
2015-02-27,7.670563697814941
2015-03-02,7.711050033569336
2015-03-03,7.6742448806762695
2015-03-04,7.622714996337891
2015-03-05,7.6006317138671875
2015-03-06,7.416598320007324
2015-03-09,7.379788875579834
2015-03-10,7.324580192565918
2015-03-11,7.324580192565918
2015-03-12,7.5711846351623535
2015-03-13,7.453400611877441
2015-03-16,7.490209579467773
2015-03-17,7.6079936027526855
2015-03-18,7.747859477996826
2015-03-19,7.766262054443359
2015-03-20,7.95029354095459
2015-03-23,7.898766994476318
2015-03-24,8.071759223937988
2015-03-25,7.850918769836426
2015-03-26,7.913488388061523
2015-03-27,7.839876174926758
2015-03-30,7.876683235168457
2015-03-31,7.747859477996826
2015-04-01,7.747859477996826
2015-04-02,7.729455947875977
2015-04-06,7.718412399291992
2015-04-07,7.729455947875977
2015-04-08,7.729455947875977
2015-04-09,7.714733123779297
2015-04-10,7.766262054443359
2015-04-13,7.725773334503174
2015-04-14,7.707371711730957
2015-04-15,7.751539707183838
2015-04-16,7.762582302093506
2015-04-17,7.751539707183838
2015-04-20,7.729455947875977
2015-04-22,7.733136177062988
2015-04-23,7.649014472961426
2015-04-24,7.8016157150268555
2015-04-27,7.702425003051758
2015-04-28,7.736761093139648
2015-04-29,7.744388103485107
2015-04-30,7.626123905181885
2015-05-04,7.744388103485107
2015-05-05,7.591792106628418
2015-05-06,7.73294734954834
2015-05-07,7.687167167663574
2015-05-08,7.687167167663574
2015-05-11,7.622311115264893
2015-05-12,7.587976455688477
2015-05-13,7.4391913414001465
2015-05-14,7.530750751495361
2015-05-15,7.595605373382568
2015-05-18,7.591792106628418
2015-05-19,7.530750751495361
2015-05-20,7.4010419845581055
2015-05-21,7.637571334838867
2015-05-22,7.782539367675781
2015-05-25,7.610865592956543
2015-05-26,7.523120880126953
2015-05-27,7.744388103485107
2015-05-28,7.710054397583008
2015-05-29,7.870284557342529
2015-06-01,7.843581199645996
2015-06-02,7.98854923248291
2015-06-03,8.01143741607666
2015-06-05,8.095367431640625
2015-06-08,8.087737083435059
2015-06-09,8.217442512512207
2015-06-10,8.0686616897583
2015-06-11,8.164037704467773
2015-06-12,8.045771598815918
2015-06-15,7.908431529998779
2015-06-16,7.9122490882873535
2015-06-17,7.870284557342529
2015-06-18,8.030511856079102
2015-06-19,8.095367431640625
2015-06-22,8.137331008911133
2015-06-23,8.064849853515625
2015-06-24,8.0381441116333
2015-06-25,8.102996826171875
2015-06-26,8.217442512512207
2015-06-29,8.049585342407227
2015-06-30,7.839762210845947
2015-07-01,8.02669620513916
2015-07-02,8.007621765136719
2015-07-03,8.03432846069336
2015-07-06,8.190739631652832
2015-07-07,8.240333557128906
2015-07-08,8.15640640258789
2015-07-10,8.083921432495117
2015-07-13,8.080107688903809
2015-07-14,8.125886917114258
2015-07-15,8.0686616897583
2015-07-16,8.04195785522461
2015-07-17,7.938952445983887
2015-07-20,8.18692684173584
2015-07-21,8.099181175231934
2015-07-22,8.030511856079102
2015-07-23,7.763463497161865
2015-07-24,7.748202800750732
2015-07-27,7.9236955642700195
2015-07-28,7.744388103485107
2015-07-29,7.706239223480225
2015-07-30,7.839762210845947
2015-07-31,8.091552734375
2015-08-03,7.855023384094238
2015-08-04,7.9809184074401855
2015-08-05,7.809244632720947
2015-08-06,7.641385555267334
2015-08-07,7.542197227478027
2015-08-10,7.603233814239502
2015-08-11,7.610865592956543
2015-08-12,7.549825191497803
2015-08-13,7.51167631149292
2015-08-14,7.465898513793945
2015-08-17,7.4201178550720215
2015-08-18,7.530750751495361
2015-08-19,7.469712257385254
2015-08-20,7.324740886688232
2015-08-21,7.248444557189941
2015-08-24,6.981396198272705
2015-08-25,6.966134071350098
2015-08-26,6.973766326904297
2015-08-27,7.1034746170043945
2015-08-28,6.981396198272705
2015-08-31,7.057696342468262
2015-09-01,6.771571636199951
2015-09-02,6.790647506713867
2015-09-03,6.886023044586182
2015-09-04,6.699087142944336
2015-09-08,6.599897384643555
2015-09-09,6.695276260375977
2015-09-10,6.714346885681152
2015-09-11,6.817352294921875
2015-09-14,7.0348052978515625
2015-09-15,7.221738815307617
2015-09-16,7.393413066864014
2015-09-17,7.408671855926514
2015-09-18,7.520674228668213
2015-09-21,7.428666114807129
2015-09-22,7.508674144744873
2015-09-23,7.512675762176514
2015-09-24,7.4246649742126465
2015-09-25,7.144639015197754
2015-09-28,7.296655654907227
